id,trigger,conditions,script,text,options,notes
lppJangalaShrineVisitAgainOutside,DialogOptionSelected,$option == lpp_jangalaShrineVisitAgainOutside,ShowImageVisual jangala_shrine,"따뜻하고 습한 공기가 당신을 덮칩니다, 고중력 충격 폼처럼. 밖으로 나서 짧은 길을 따라갑니다; 거의 무성하게 자란 것처럼 보입니다. 잎과 더듬이가 당신을 스치며 따라갑니다.성장물로 부풀어오른 조각상 정원을 찾습니다, 덩굴이 기어다니며",lpp_jangalaShrineExtLeave:단지 내부로 돌아가기,
lppHesperusShrineOptionLeave,HesperusShrineOptions,$global.lpp_visitedShrineHesperus,,,shrineDoLeave:떠나기 now,"# If you haven't visited, you're going to be forced to. Because otherwise you can break the flow of logic -dgb"
lppHesperusShrineDoVisitAgain3,DialogOptionSelected,$option == lpp_hesperusShrineAgain3,,"Subdued chanting, warped by the strange geometry of this cultic industrial space, blends with the air-cyclers. The candles burn clean and bright, gleaming off the multitude of bladed facets adorning every surface of the shrine's interior, a monument to sacral bloodshed.You are left in a prayer-niche to contemplate the horror.",shrineDoLeave:떠나기 the shrine,
lkeMazBarAgentHelp1,DialogOptionSelected,$option == lke_mazBarAgentHelp1,,"Before long, you've got the dossier on one Nile Virens, local Pather strongman, transferred to your datapad. Contact info, addresses, and a patchy bio. Operates compounds in all the major Luddic population centers. Effectively runs the Path on Mazalot.""You need to watch out for that one,"" the agent stows his datapad and stands. ""Slippery customer, he is. Can't nail him on one thing or another, always some young Luddie will come to confess in his place."" The agent looks at you with comradely bonhomie, ""Glad they finally called in the big guns. You gonna..."" he makes a finger pistol motion, and winks.""Not that you could tell me, I suppose.""","lke_barEnd:떠나기 without a wordlke_barEnd3:""Your assistance will be noted in the after action report.""",
lkeMazBarAgentRespBribe4,DialogOptionSelected,$option == lke_mazBarAgentRespBribe4,,"His sneer fades. You wouldn't be so stupid, his look says, would you? You give a little nod; yes, you would. You've done far stupider and walked away intact.Before long, you've got the dossier on one Nile Virens, local Pather strongman, transferred to your datapad. Contact info, addresses, and a patchy bio. Operates compounds in all the major Luddic population centers. Runs the Path, such as it is, on Mazalot.""You deserve each other,"" the officer grumbles as he makes his exit.",lke_barEndOut:떠나기,
lkeMazBarAgentRespSiyavong4,DialogOptionSelected,$option == lke_mazBarAgentRespSiyavong4,,"Before long, you have the munisec officer silent and near-tears across from you in a booth while you browse local security reports on their datapad using their own login.You find exactly what you need - Nile Virens, local Pather strongman. Operates compounds in all the major Luddic population centers.After transferring the information to your own TriPad you toss the officer's datapad across the table. He is too slow to catch it, and it clatters to the ground.","lke_barEnd:떠나기 without a wordlke_barEnd2:""Your cooperation will be noted.""",
LKEvirensGunCheckE,DialogOptionSelected,$option == lke_virensGunCheckE,,"Virens' militants escort you back through town. You see clearly now how the population avoids your route, and how you haven't, in fact, seen any MUA personnel. Anywhere.",lke_virensEarlyExit:떠나기,
LKEvirensEndingOptAResp1,DialogOptionSelected,$option == lke_virensEndingOptAResp1,,"""Wayward?"" He gives a soft laugh. ""You can be diplomatic when you wish it.""""The Church is not all one thing. And do you think this man, this Jethro Bornanew, will help that part of the Church which seeks a dominion of orthodoxy to overcome all the Faithful, and the Sector besides?""""Of that, I am not sure."" His mouth moves toward an amused smile, but doesn't quite get there. ""Burn bright, captain.""",lke_virensEndingOut1:떠나기,
LKEvirensEndingOptBResp1,DialogOptionSelected,$option == lke_virensEndingOptBResp1,,"""I speak true, $playerBrotherOrSister, when I say that I do not know what Path has been set for us by Providence.""""But I do know that the Church is not all of one thing. And do you think this man, this Jethro Bornanew, will help that part of the Church which seeks a dominion of orthodoxy to overcome all the Faithful, and the Sector besides?""""Of that I am especially unsure."" His mouth moves toward a smile of amusement, but doesn't quite get there. ""Burn bright, captain.""",lke_virensEndingOut1:떠나기,
LKEvirensEndingOptEResp1,DialogOptionSelected,$option == lke_virensEndingOptEResp1,,"He stands to see you off.""The Path is not all one thing, spacer, nor is the Church. Remember that.""",lke_virensEndingOut1:떠나기,
LKEvirensEndingOptFResp1,DialogOptionSelected,$option == lke_virensEndingOptFResp1,,"He shakes his head at the implied accusation. ""It is not.""""You know little of the Path, spacer. The Path provides something that nothing else will. Not Kazeron, not the Hegemony, certainly not the Mazalot Unification Authority.""He sets his teacup down firmly, rattling the ceramic. There is a sad fervor in his eyes you did not see before. ""Ludd's message shines bright in the dark of space, and in the shadow beneath the boot of power. Not even the Church can contain it.""He stands, and takes a deep breath. Then smooths his fine clothing. ""Go in peace,"" he says.",lke_virensEndingOut1:떠나기,
LKEvirensEndingOptHResp1,DialogOptionSelected,$option == lke_virensEndingOptHResp1,,"He stands to see you off, ""The Path is not all one thing, spacer, nor is the Church. Remember that.""",lke_virensEndingOut1:떠나기,
LIKEvirensEndingOptIResp1,DialogOptionSelected,$option == lke_virensEndingOptIResp1,,"""No. Often, the cowards way is not. I pray that I am no fool in this."" Virens stands, his body tense, his manner clear in seeing you gone as soon as possible.""My man Fearnot will see you out.""",lke_virensEndingOut1:떠나기,
LKEvirensRaidJethroLie2b,DialogOptionSelected,$option == lke_virensRaidJethroLie2b,,"He looks confused for a moment, and then suppresses a smile.","lke_virensRaidJethroLie2b1:""What's so funny?""lke_virensRaidJethroLie2b2:떠나기",
LKEvirensRaidJethroLie2b1b,DialogOptionSelected,$option == lke_virensRaidJethroLie2b1,,"""I apologize, captain. I should not make light of your mercy."" He clears his throat, ""It is a strange Path that I have been given. That is all.""",lke_virensRaidJethroLieMUA:떠나기,
BFFIarrestOutroAskPenance,DialogOptionSelected,$option == bffi_arrestOutroAskPenance,,"He turns to you.""Pleased? That is difficult. What we have uncovered is deeply concerning. As for my penance,"" he grimaces. ""You have not met the Excubitor Orbis of Hesperus.""He turns back to the stars.",bffi_arrestCurateEnd:떠나기 him to his thoughts,
BFFIarrestOutroAskPenUnderstand,DialogOptionSelected,$option == bffi_arrestOutroPenUnderstand,,"He nods, then turns back to the stars.",bffi_arrestCurateEnd:떠나기 $global.jethroName to his thoughts,
BFFIarrestOutroAskPenForgive,DialogOptionSelected,$option == bffi_arrestOutroPenForgive,,"""Maybe,"" he says. He is quiet for a moment, nods, then turns back to the stars.",bffi_arrestCurateEnd:떠나기 $global.jethroName to his thoughts,
tut_mainBackground1,DialogOptionSelected,$option == tutBackground,,"""갈라티아 아카데미 팀이 이 성계의 잠자고 있는 게이트를 도메인의 게이트 네트워크에 재연결하려는 실험을 진행 중이었습니다.유망한 실험이었죠 - 그렇게 생각했을 때까지는요. 게이트의 반응을 예상했던 에너지 펄스가 성계로 들어오는 점프포인트를 불안정하게 만들어 우리를 섹터 나머지 지역과 단절시켜 버렸습니다.마치 섹터 자체가 도메인과 단절된 것과 비슷하죠, 작게 쓴 것처럼요. 별들은 아이러니한 감각이 있나 봐요, 그렇죠?""",0:tutBgCont1:계속,
tut_mainGetDataInfo1,DialogOptionSelected,$option == tutBgCont1,,"""이 성계에도 있는 데린쿠유 정거장의 광부들이 가장 큰 타격을 입었습니다. 생계 수준에서 간신히 운영하고 있었는데, 마지막으로 들어온 식량 수송선 중 하나를 탈취해 해적질로 돌아섰습니다. 분명 절박함에서 비롯된 일이지만 사망자가 생겼고, 그들은 완전히 법 밖으로 벗어났습니다.그들의 지도자들은 점프포인트가 안정화되고 이 성계가 다시 섹터의 일부가 된다면, 아무리 잘해도 평생 형사 식민지에서 보내야 한다는 걸 알고 있습니다.""","1:tutCont1:""알겠어요 - 그래서 제가 뭘 해야 하나요?""",
tut_mainGetDataInfo2,DialogOptionSelected,$option == tutCont1,,"""해적으로 돌아선 광부들이 점프포인트를 지키며 우리가 최근 측정값을 수집하고 안정화 방법을 마련하지 못하게 하고 있습니다.그들의 병력을 처리할 수 있는 보안 분대가 있긴 하지만, 앙키라를 방어하느라 묶여 있습니다.해적들은 당신이 직접 상대하기엔 너무 강하지만, 다행히 그럴 필요는 없습니다. 데린쿠유 정거장에 심어 놓은 요원이 점프포인트를 지키는 함선들의 최근 센서 측정값에 접근할 수 있었지만, 장거리 통신 배열에 접근해 데이터를 우리에게 전송할 수 없었습니다.거기서 당신이 필요합니다 - 데린쿠유로 가서 요원으로부터 데이터를 받아 돌아오세요.""","0:tutCont2a:""왜 저인가요?""1:tutCont2b:""저한테 뭘 주실 건가요?""",
tut_mainGetDataWhatsInIt,DialogOptionSelected,$option == tutCont2b,AddRemoveCommodity credits 2000 true,"""아, 용병이시군요. 당연히 크레딧이 있고, 계획대로 되면 - 비록 현재 상태이긴 해도 - 섹터 나머지 지역과 다시 연결될 수 있을 겁니다.""","2:tutContGoDark:""계획이 뭔가요?""",
tut_mainGetDataGoDark,DialogOptionSelected,$option == tutContGoDark,,"""우선, 도크에서 출발하면 트랜스폰더를 끄세요. 보안 분대에게 당신을 방해하지 말라고 지시해 뒀습니다.운이 좋으면 해적들이 당신을 자기편으로 오해해 데린쿠유에 접근할 때 아무 문제 없을 수도 있습니다. 그래도 가까워질수록 ""은폐 모드""를 사용해 당신의 함대를 제대로 파악하지 못하게 하는 게 좋습니다. 소행성대를 따라 접근할 수도 있는데, 천천히 이동하는 한 거의 완벽한 엄폐를 제공합니다.""","2:tutContEBurn:""그들이 저를 발견하면요?""",
tut_mainGetDataEBurn,DialogOptionSelected,$option == tutContEBurn,,"""그러면 위험합니다 - ""긴급 가속""을 활성화해서 그곳을 탈출하고, 그들을 따돌린 뒤 다시 시도하세요.하지만 정말 필요할 때만 긴급 가속을 사용하세요. 함선에 부담을 주고 회복하는 데 보급품이 더 필요합니다. 연료도 꽤 많이 소모됩니다.""","2:tutCont3:""알겠습니다.""",
tut_mainGetDataAccept,DialogOptionSelected,$option == tutCont3,,"""훌륭합니다. 도움을 주셔서 감사합니다 - 데이터를 얻으면 돌아오세요. 행운을 빕니다!""",0:cutCommLinkPolite:통신 연결 끊기,
tut_mainComeBackNoStageMatch,PickGreeting,$tut_mainContact score:100,,"연결 요청이 빠르게 수락됩니다.""네? 다른 필요한 것이 있나요?""",0:cutCommLinkPolite:통신 연결 끊기,
tut_mainContactProbe1,DialogOptionSelected,$option == tutGotDataCont1,,"""네 - 시스템 추정으로는 데이터를 분석하고 안정화 알고리즘을 만드는 데 약 1주기가 걸린다고 합니다. 그때가 되면 데이터가 낡아져 그 기반의 알고리즘은 쓸모없어지겠죠.AI 코어가 있으면 데이터를 더 빨리 분석할 수 있습니다. 다행히 이 성계 어딘가에 탐사 탐침이 있습니다. 도메인이 섹터를 처음 탐사할 때 남긴 것인데, 두뇌 역할을 하는 AI 코어가 적어도 하나는 있을 겁니다.""","tutGotDataCont2:""어디에 있고, 왜 이전에 수거되지 않았나요?""",
tut_mainContactProbe2,DialogOptionSelected,$option == tutGotDataCont2,,"""두 번째 질문에 답하자면, 도메인 유물은 대개 오늘날까지도 작동하는 자동 방어 장치로 보호되어 있으며, 이 탐침도 예외가 아닙니다. 그리고 헤게모니는 일반적으로 민간인의 도메인 유물 개입을 금지합니다. 물론 공공 안전을 위해서라고요.""""하지만 이런 절박한 상황이라면...""",tutGotDataCont3:계속,
tut_mainContactProbe3,DialogOptionSelected,$option == tutGotDataCont3,,"""위치에 대해선, 내 데이터로는 폰투스 궤도 너머 어딘가에 있습니다. 그곳에 가서 소행성대 너머로 나가 ""능동 센서 탐지""를 사용하세요. 최소한 탐침과의 센서 접촉을 얻을 수 있을 겁니다.탐침을 향해 이동하고, 인양을 수행한 다음, AI 코어를 가져오세요.(""폰투스""는 외부 성계의 가스 행성입니다. 지도에서 이름을 보려면 지도 필터의 ""거주""를 꺼야 할 수도 있습니다.)","cutCommLinkPolite:""뭔가 해볼게요.""",
tut_mainContactCore1,DialogOptionSelected,$option == tutGotCore1,,"""코어가 알고리즘을 만들어 내면 전송해 드리겠습니다. 그것을 얻으면, 함대의 드라이브 필드를 이용해 점프포인트와 상호작용하는 방식으로 알고리즘을 실행하는 것은 간단한 일입니다.하지만 두 점프포인트를 모두 지키는 광부들 문제가 아직 남아 있습니다.""","tutGotCore2:""그들의 병력이 상당하다고 하셨죠?""",
tut_mainContactCore2,DialogOptionSelected,$option == tutGotCore2,,"""음, 상대적인 문제죠. 우리 보안 분대라면 쉽게 처리할 수 있지만, 앞서 말했듯이 앙키라를 방어하느라 묶여 있습니다.반면 당신의 함대는... 뛰어난 조종술과 약간의 운이 있다면 상대할 수도 있겠지만, 그런 위험을 감수하지 않는 것이 좋습니다.특히 대안이 있을 때는요.""","tutGotCore3:""어떤 대안이죠?""",
tut_mainContactCore3,DialogOptionSelected,$option == tutGotCore3,,"""테트라 주변에 함선 묘지가 있습니다. 복구할 가치가 없다고 판단된 함선들이 다른 곳의 해체 시설로 대량 운송되기를 기다리고 있습니다.하지만 지금 그것들이 우리에게 필요합니다. 그곳에 가서 복구할 수 있는 함선은 모두 인양하고, 복구할 수 없는 것은 보급품으로 해체하세요. 복구된 함선을 운용할 충분한 승무원을 데려가세요 - 추가로 100명 정도면 될 겁니다.수송도 해야 하니, 이 머드스키퍼 수송선을 가져가세요. 보상의 일부로 여기십시오.""","cutCommLinkPolite:""감사합니다. 함선을 가지고 돌아오겠습니다.""",
tut_mainContactReturnShips1,DialogOptionSelected,$option == tutGotShips1,CallEvent $tut_eventRef printRefitHint,"""그 얘기를 막 하려 했어요. 공개 시장에서는 살 게 많지 않지만 우리 비축품이 있습니다.이미 현지 저장 공간을 배정해 놨고, 적합한 무기들도 이전해 뒀습니다. 새 함선들을 완전한 전투 준비 상태로 신속히 복구할 충분한 보급품도요.새 함선들에 무장을 갖추고, 모든 함선에 완전한 승무원이 있는지 확인한 다음, 내부 점프포인트의 불법 광부 방어선을 무너뜨리세요!""","tutGotShips2:""그럼 안정화 알고리즘은 준비됐나요?""",
tut_mainContactReturnShips2,DialogOptionSelected,$option == tutGotShips2,,"""맞아요! 이 코어들은 가끔 기적을 일으키는 것 같습니다. 결과를 전송하겠습니다.행운을 빕니다! 실패하면... 보안 분대를 보내야 하는데, 그러면 일이 꽤 복잡해질 수 있어요.""","tutGotShips3:""이미 플랜 B를 준비하고 계셨군요.""",
tut_mainContactReturnShips3,DialogOptionSelected,$option == tutGotShips3,,"""그렇게 암울하게 생각하지 마세요. 당신이 성공할 것이라고 충분히 믿고 있어요, 그렇지 않았다면 보내지 않았겠죠. 하지만 지휘관으로서 모든 가능성을 계획하고 기적적인 구원자에 의존하지 않는 것이 제 책임입니다.자, 광부들에 대해 - 점프포인트를 지키는 두 함대는 하나를 교전할 때 다른 하나가 근처에 있으면 서로 지원하니, 먼저 분리할 수 있다면 더 쉬운 싸움이 될 겁니다. 그럴 수 없어도 이길 수 있는 싸움이지만요.""","cutCommLinkPolite:""알겠습니다. 일을 끝내고 돌아오겠습니다.""",
tut_mainContactStabilized2,DialogOptionSelected,$option == tutStabilized2,,"""만약 연료가 떨어져 사람이 없는 성계에 갇히게 된다면 - 갈라티아-코르부스 경로에서는 정말 대단한 일이겠지만 - 언제나 ""조난 신호""를 보내고 도움이 오길 기다릴 수 있습니다.""",tutStabilized3:계속,
tut_mainContactStabilized3,DialogOptionSelected,$option == tutStabilized3,"SetShortcut cutCommLinkPolite ""ESCAPE""","""여기 남은 불법 광부 함대에 대한 현상금도 선포하겠습니다. 원하시면 코르부스로 가기 전에 여기 남아서 잔당을 정리하는 데 도움을 줄 수도 있습니다.""","cutCommLinkPolite:""알겠어요, 선택을 고려해 볼게요.""",
tut_janContactReport1,DialogOptionSelected,$option == tutReport1,,"""지금 당장 특별한 임무는 없지만, 선택지가 있습니다,"" $heOrShe가 데이터패드를 옆으로 치우며 말합니다.""이 성계에는 현재 유난히 높은 해적 활동으로 인한 현상금이 있습니다. 이미 해적을 상대한 경험이 있으니, 크레딧을 벌기에 좋은 방법일 수 있습니다.""""물론 항구 바를 방문할 수도 있습니다. 때때로 좋은 기회가 있거든요.""",tutReport2:계속,
tut_janContactReport2,DialogOptionSelected,$option == tutReport2,,"""아니면 인양에 도전해 볼 수도 있습니다. 연료, 기계류, 보급품을 잔뜩 싣고 핵심 세계 밖의 성계로 향하세요.""""먼저 임무를 받는 게 좋습니다. 목적 없이 달리지 않도록요. 이 행성이나 저 난파선을 분석해 달라고 좋은 돈을 제시하는 사람이 항상 있습니다. 하나가 있으면 더 있는 경우도 많아요.""",tutReport3:계속,
tut_janContactReport3,DialogOptionSelected,$option == tutReport3,,"""마지막으로, 헤게모니에 커미션을 받을 수도 있습니다. 갈라티아 사건 덕분에 당신의 평판이 충분히 높아서 그런 요청이 받아들여질 겁니다.""""하지만 적들과 싸워야 하므로 꽤 큰 의지가 필요합니다. 저라면 더 확실한 함대를 갖출 때까지 미루겠습니다.""","cutCommLinkPolite:""감사합니다, 생각해 볼게요.""",
stable_leaveOpt,Stable_AddBuildOptions,,"SetShortcut SL_Leave ""ESCAPE""",,100:SL_Leave:떠나기,
cob_sabOpt,COB_AddOptions,!$tag:story_critical,,,30:COB_salvage:해체하여 부품 수거,
cob_leaveOpt,COB_AddOptions,,"SetShortcut COB_Leave ""ESCAPE""",,100:COB_Leave:떠나기,
bar_shuttleDescGeneric,BarShuttleDownPrintDesc,,,셔틀을 타고 메인 광장으로 내려가 금세 괜찮아 보이는 술집을 찾습니다.,,
bar_descGeneric,BarPrintDesc,,ShowImageVisual space_bar,"바에 들어서자 대화와 흥겨움의 백색 소음이 덮쳐옵니다. 천장 유닛에서 광고 홀로그램이 부드럽게 웅웅거리며 유리잔과 병을 통해 화려한 빛을 발산하고, 우주선 선원들이 상인들, 현지인들과 어울려 술을 교환하며 소문과 일거리, 기회를 주고받습니다.",,
bar_descTriTach,BarPrintDesc,$faction.id == tritachyon,ShowImageVisual tritachyon_bar,"라운지는 모든 면에 화려한 금빛 기하학 무늬로 장식되어 있으며, 시원한 형광등으로 아래를 밝힌 검은 대리석 기둥들이 공중에 떠 있는 것처럼 보입니다. 트라이-태키온의 화려한 경력자들이나 빳빳한 정장을 입은 야망가들인 기업 상승주의자들이 점점 더 엉뚱한 칵테일을 서로에게 사며 거래를 협상합니다. 몇몇 우주선 선원들은 낮은 좌석에서 조용히 술을 마시며 천장에서 내려오는, 추상 예술인지 홀로그램 장치인지 알 수 없는 무언가를 불안하게 바라봅니다.",,
bar_descPirate,BarPrintDesc,$faction.id == pirates,ShowImageVisual pirate_bar,"공간은 어둡고 고함소리, 땀내, 쿵쿵거리는 음악으로 가득합니다. 모든 벽과 표면은 머그잔을 두드리며 웃는 거친 우주선 선원들에 의해 얽히고 얼룩져 있으며, 해적 무리 둘이 싸움을 부추기고 있습니다. 총기가 뽑히기 전에 크게 증강된 경비원 중 하나가 분위기를 망칠 것이라고만 생각할 수 있습니다. 조직원들과 해적 선장들이 뒤쪽 연기로 가득한 부스에서 장면을 의기양양하게 지켜봅니다.",,
bar_descHegemony,BarPrintDesc,$faction.id == hegemony,ShowImageVisual hegemony_bar,붐비고 잘 불이 켜진 공간에 들어서며 핵심 세계 모든 곳—그리고 몇 군데 다른 곳—에서 온 술병들이 벽을 채우고 있는 것을 봅니다. 상인 선장들이 바에서 비번 장교들과 어울리며 유니폼 직원들에게 효율적으로 서빙을 받습니다. 한쪽 구석에서는 해군 생도 무리가 소리치고 노래하며 마지막 자유 근무 교대를 절박하게 즐기고 있습니다.,,
bar_descDiktat,BarPrintDesc,$faction.id == sindrian_diktat,ShowImageVisual bar_diktat,바에 들어서며 통로의 불쾌한 선전 방송을 뒤로합니다. 비번 노동자들이 딕타트 문장이 걸린 벤치에서 묵묵히 배급 크레딧으로 술을 마십니다. 한쪽 구석에서는 잘 차려입은 장교-관료 무리가 한 잔 더 부릅니다. 심지어 여기서도 신드리아의 사자의 실물 크기보다 큰 홀로그램이 당신이 무엇을 할지 결정하는 동안 내려다봅니다.,,
bar_descPerseanLeague,BarPrintDesc,$faction.id == persean,ShowImageVisual space_bar,"바에 들어서자 리그 세계 전역에서 온 승무원들 사이의 활기찬 긴장감이 느껴집니다. 정장 차림의 카제론 사람들이 독주를 마시고, 자부심 강하지만 가난한 마야수라 사람들이 쌀 맥주를 들이킵니다. 틸리아 승무원 하나가 루딕 절제의 나쁜 예를 보이는 자가니아 함교 장교들과 라운드와 허풍을 교환합니다. 빛나는 디스플레이가 리그 모든 세계의 미디어 피드를 보여주며 그 스피커들이 인간 백색 소음의 둔한 소란에 기여합니다.",,
bar_descLuddicChurch,BarPrintDesc,$faction.id == luddic_church,ShowImageVisual teahouse,바에 들어서며 절제와 자제를 권장하는 공지들을 지나쳐 갑니다. 누군가 구석방에서 현악기를 연주하고 있습니다. 손으로 만든 사모바르 줄이 바의 거친 노동자 승무원들이 선호하는 약한 곡주만큼이나 차가 자주 제공된다는 것을 암시합니다. 테이블이나 부스에 앉은 많은 손님들이 외지인이나 죄악의 소굴과 가장 가까운 장소에서 웅크리는 현지 비신자들인 것 같습니다.,,
bar_descLuddicPath,BarPrintDesc,$faction.id == luddic_path,ShowImageVisual teahouse,"현지 단속반의 거칠게 생긴 사내가 당신이 지나갈 때 무례하게 쳐다보지만 막지는 않습니다. 원하면 언제든 이 장소를 폐쇄할 수 있다는 것을 알리고 싶어 합니다—하지만 불법 찻집-바는 성전을 수행하는 데 필요한 교역의 유용한 통로입니다. 안은 어둡고, 천장이 낮으며, 사람들로 가득 차 있습니다. 현대 효소 비누를 경멸하는 몸들과 마약 연기와 싸구려 술 냄새가 경쟁합니다.",,
zig_afterDefeating,AfterZigguratDefeat,,,마지막 엄청난 폭발이 외부 시각 픽업을 비웁니다. 몇 초 후 백업이 선체를 통해 나옵니다.,,
zig_alphaContinueOpt,DialogOptionSelected,$option == zigAlphaContinue,,"전술 장교가 재빨리 몇 개의 버튼을 눌러 홀로 디스플레이가 상태 업데이트를 통해 깜박입니다.""셔틀 파워 코어들이 동시에 과부하됐다면, 셔틀들이 잔해에 그렇게 가깝게 있었을 때? 선체가 회복 희망 너머로 손상됐을 겁니다. 물론 인양 승무원들을 죽이는 것 외에도요. 하지만 그것이 그들의 목표였다고 생각하지 않습니다; 인양 승무원을 죽이는 더 쉬운 방법들이 있습니다.""인양팀에게 두 번째 시도를 준비하도록 작전 책임자에게 신호하면서 전술 장교가 덧붙입니다. ""방금 경험한 것이 제2차 AI 전쟁에서의 오래된 트라이-태크 트릭이라는 것이 떠오릅니다. 그들은 헤게모니가 무력화된 선체에서 정보와 기술을 회수하지 못하도록 블랙박스 전자전 함정을 남겼습니다. 효과가 있었죠. 한동안은요. 레거시 통신 보안 패키지를 설치해 둔 게 다행입니다.""",zigAlphaContinue2:계속,
zig_alphaContinueOpt2,DialogOptionSelected,$option == zigAlphaContinue2,,"전술 장교를 보내고 대기 중인 인양팀과 지휘 승무원 사이의 호출-응답이 진행되는 동안 상황을 숙고합니다. 하급 장교들의 사후 분석/시뮬레이션 팀에서 함교 승무원으로 보고가 올라옵니다. 당신이 좋아하기에는 너무 많은 공백이 있는 그림이 형성되기 시작합니다: 코어 붕괴 신호는 알파 코어를 보관하는 보안 화물 창고 안에서 정확히는 아니지만, 불편할 정도로 가까운 곳에서 발신된 것으로 보입니다. 코어는 당시 완전한 격리 차폐 상태였고, 이 위기에서 데이터 링크를 조금 열어준다면 당신의 서비스와 조언을 제공하겠다고 하면서도 어떤 책임도 쉽게 부인합니다. 당신은 간단히 보안 통신 채널을 끊고 AI를 격리된 잠금 상태로 돌려보내라고 명령합니다.통신 장교가 AI가 관여했는지 여부에 대한 불확실성을 보고합니다. 또는 코어에 의혹을 던지기 위해 그 위치에서 신호가 보내졌을 수도 있습니다. 두 가지 가능성 모두 불길한 시사점이 있습니다. 하지만 그 동안 작전 책임자가 잔해에 진입하라는 명령을 요청합니다.",zigAlphaContinue3:탐사를 진행하라고 명령하기,
zig_exploreDescription,ZigExploreDescription,,,"긴장된 몇 분 후, 보고가 들어오기 시작합니다 - 함선은 심하게 손상되었고, 이국적인 설계에도 불구하고 이론적으로는 회수 가능합니다.작전 책임자가 모든 화려한 선체 특성에도 불구하고, 이 함선은 운용하기 위해 승무원이 필요하다는 것이 명백하다고 보고합니다. 하지만 전투 손상에 걸린 시신 하나도 없이 승무원의 흔적이 전혀 없으며, 탈출 포드는 모두 제자리에 있습니다.원격 측정 피드, 인양자들의 보고, 허가 명령이 기함의 함교를 통해 당신 주변을 흐르는 동안 작전이 진행됩니다. 조용한 순간에 그 들리지 않는 음악을 듣기 위해 귀를 기울이고 있는 자신을 발견하고는 고개를 젓습니다. 기술 장교에게서 통신 요청이 나타나 상상에서 현실로 돌아옵니다. 당연하게 수락합니다.",zigExploreContinue:계속,
zig_exploreDescriptionContinue,DialogOptionSelected,$option == zigExploreContinue,,"""$PlayerSirOrMadam, 이 시스템들의 절반만 이해해도, 이 함선은 정말 유일무이합니다,"" 기술 장교가 진심 어린 흥분으로 말합니다.""저는 이 ... 무리 짓는 광자들, 전자기 이상 현상을 생성하고 제어하는 것처럼 보이는 장치를 찾았습니다 - 둘 다 정확한 표현인지는 모르겠지만요. 장치는 두 단계가 있는 것 같습니다. 첫 번째는 설명드린 것이고, 두 번째는 안타깝게도 회복 불가능하게 손상된 나중에 추가된 것처럼 보입니다.""""부품의 복잡성과 기이한 방전 패턴을 보면... 이건 최첨단 작업을 하는 전문가 팀의 작업입니다. 놀랍습니다! 이런 장치, 요즘에는 전례가 없습니다. 다만,"" 기술자가 갑자기 민망해하며 ""소문이요. 아시잖아요, 사람들이 이야기를 하잖아요.""",zigExploreContinue2:계속,
zig_exploreDescriptionContinue2,DialogOptionSelected,$option == zigExploreContinue2,SalvageSpecialInteraction,"기술 장교가 헛기침을 하며 계속합니다. ""이 장치의 주요 부분을 다시 작동시킬 수 있을 것 같습니다. 왜 작동하는지는 전혀 이해할 수 없지만요. 함선 자체도 일반 수리를 하면 비행 가능한 상태가 될 겁니다. 회수를 진행할까요?""",,
zig_alphaSiteExplore1,DialogOptionSelected,$option == alphaSiteExplore1,$siteExplored = true,광범위한 준비 끝에 (그리고 위험 수당 정책의 재확인 끝에) 자원 인양팀이 중차폐 셔틀로 내려보내집니다.,,
zig_alphaSiteExplore1b,DialogOptionSelected,$option == alphaSiteExplore1b,"AddTextSmall ""Recovered Alpha Site Journal"" highlight","시설 내부가 뚫려 압력이 없는 상태입니다. 구조물의 부피가 어느 정도 보호를 제공하지만, 섬세한 컴퓨터 시스템은 회복 불가능하게 손상되었습니다. 데이터는 회수할 수 없습니다.쉬운 발견 기회가 없어 팀이 나머지 방사선 안전 시간 동안 시설을 문서화하고 폐허에서 유용한 것을 추론할 수 있는지 보기 위해 퍼집니다. 탐사 중 인양자 한 명이 고위 직원의 숙소에 들어가 자연 재료로 묶인 물리적 책인 일지를 발견합니다. 추정상 고인이 된 소유자의 것입니다.",alphaSiteExplore2:계속,
zig_alphaSiteExplore2,DialogOptionSelected,$option == alphaSiteExplore2,,격리 구역에서 일지를 검토합니다.,,
zig_alphaSiteExplore2b,DialogOptionSelected,$option == alphaSiteExplore2b,SetShortcut defaultLeave ESCAPE,"가상 페이지를 스크롤하면서 일지가 이 시설 최고기술책임자의 개인적 생각을 담고 있다는 것을 알게 됩니다.테스트 중 안전 프로토콜을 무시하라는 명령에 대한 막연한 불평과 켈리스 아스트라이아의 요구에 대한 좌절로 시작됩니다. 이해한 바로는 이것은 실패한 프로젝트에 관련된 고위 트라이-태키온 임원들에게 흔한 책임 전가와 기록 변조에 대비하여 서면 흔적을 남기려는 시도입니다.""밖에 나가는 것""에 대한 걱정이 기록에 자주 등장합니다. 표면 조건을 감안하면 이해할 수 있지만, 점점 강해지는 강박적인 글쓰기는 저자의 성장하는 공포증을 반영하는 것 같습니다.",alphaSiteExplore3:계속,
